Chart_ID|Song_Title|Song_Subtitle|Song_Artist|Song_Length|MIN_BPM|MAX_BPM|Technical_Notation|Difficulty_Name|Difficulty_Rating|Step_Artist|Pack|Type
29740|Tower of Science| |Neko feat N. Sato|97|77,50|155,00| |Hard|9|Renard|Mungyodance 3|single
29741|Tower of Science| |Neko feat N. Sato|97|77,50|155,00| |Medium|7|Renard|Mungyodance 3|single
29742|Tower of Science| |Neko feat N. Sato|97|77,50|155,00| |Easy|3|Renard|Mungyodance 3|single
29743|Twist| |Tommyknocker|106|171,52|171,52| |Hard|9|Renard|Mungyodance 3|single
29744|Twist| |Tommyknocker|106|171,52|171,52| |Medium|6|Renard|Mungyodance 3|single
29745|Twist| |Tommyknocker|106|171,52|171,52| |Easy|3|Renard|Mungyodance 3|single
29746|Twist| |Tommyknocker|106|171,52|171,52| |Challenge|9|Renard|Mungyodance 3|single
29747|U R Weird M8| |The A.M.D.A|123|42,50|295,00| |Hard|10|Renard|Mungyodance 3|single
29748|U R Weird M8| |The A.M.D.A|123|42,50|295,00| |Medium|8|Renard|Mungyodance 3|single
29749|U R Weird M8| |The A.M.D.A|123|42,50|295,00| |Easy|4|Renard|Mungyodance 3|single
29750|Ultramania| |Seo Taiji|91|41,50|166,00| |Hard|8|Renard|Mungyodance 3|single
29751|Ultramania| |Seo Taiji|91|41,50|166,00| |Challenge|9|Renard|Mungyodance 3|single
29752|Ultramania| |Seo Taiji|91|41,50|166,00| |Medium|4|Renard|Mungyodance 3|single
29753|Ultramania| |Seo Taiji|91|41,50|166,00| |Easy|2|Renard|Mungyodance 3|single
29754|Unbalanced| |Infected Mushroom|118|140,00|140,00| |Hard|8|Renard|Mungyodance 3|single
29755|Unbalanced| |Infected Mushroom|118|140,00|140,00| |Medium|6|Renard|Mungyodance 3|single
29756|Unbalanced| |Infected Mushroom|118|140,00|140,00| |Easy|2|Renard|Mungyodance 3|single
29757|Unbalanced| |Infected Mushroom|118|140,00|140,00| |Challenge|9|Renard|Mungyodance 3|single
29758|Valley of the Mind| |SamplingMasters MEGA|98|220,00|220,00| |Hard|9|Renard|Mungyodance 3|single
29759|Valley of the Mind| |SamplingMasters MEGA|98|220,00|220,00| |Medium|7|Renard|Mungyodance 3|single
29760|Valley of the Mind| |SamplingMasters MEGA|98|220,00|220,00| |Easy|4|Renard|Mungyodance 3|single
29761|Venus Return| |Sonitus Vir feat. N. Sato|99|108,00|216,00| |Challenge|12|Renard|Mungyodance 3|single
29762|Venus Return| |Sonitus Vir feat. N. Sato|99|108,00|216,00| |Hard|9|Renard|Mungyodance 3|single
29763|Venus Return| |Sonitus Vir feat. N. Sato|99|108,00|216,00| |Medium|6|Renard|Mungyodance 3|single
29764|Venus Return| |Sonitus Vir feat. N. Sato|99|108,00|216,00| |Easy|3|Renard|Mungyodance 3|single
29765|Vi Sitter I Ventrilo Och Spelar DotA| |Basshunter|109|140,00|140,00| |Hard|8|Renard|Mungyodance 3|single
29766|Vi Sitter I Ventrilo Och Spelar DotA| |Basshunter|109|140,00|140,00| |Challenge|9|Renard|Mungyodance 3|single
29767|Vi Sitter I Ventrilo Och Spelar DotA| |Basshunter|109|140,00|140,00| |Medium|6|Renard|Mungyodance 3|single
29768|Vi Sitter I Ventrilo Och Spelar DotA| |Basshunter|109|140,00|140,00| |Easy|3|Renard|Mungyodance 3|single
29769|Vicious Delicious| |Infected Mushroom|109|145,00|145,00| |Challenge|10|Renard|Mungyodance 3|single
29770|Vicious Delicious| |Infected Mushroom|109|145,00|145,00| |Hard|9|Renard|Mungyodance 3|single
29771|Vicious Delicious| |Infected Mushroom|109|145,00|145,00| |Medium|6|Renard|Mungyodance 3|single
29772|Vicious Delicious| |Infected Mushroom|109|145,00|145,00| |Easy|3|Renard|Mungyodance 3|single
29773|Vienna Calling| |Falco|112|131,30|131,54| |Hard|8|Renard|Mungyodance 3|single
29774|Vienna Calling| |Falco|112|131,30|131,54| |Medium|5|Renard|Mungyodance 3|single
29775|Vienna Calling| |Falco|112|131,30|131,54| |Easy|3|Renard|Mungyodance 3|single
29776|Vision Quest| |Totally Radd!!|116|165,00|165,00| |Challenge|12|Renard|Mungyodance 3|single
29777|Vision Quest| |Totally Radd!!|116|165,00|165,00| |Hard|9|Renard|Mungyodance 3|single
29778|Vision Quest| |Totally Radd!!|116|165,00|165,00| |Medium|6|Renard|Mungyodance 3|single
29779|Vision Quest| |Totally Radd!!|116|165,00|165,00| |Easy|3|Renard|Mungyodance 3|single
29780|Wake Me Up in Heaven| |General Patton & The X-Ecutioners|108|93,00|100,30| |Hard|9|Renard|Mungyodance 3|single
29781|Wake Me Up in Heaven| |General Patton & The X-Ecutioners|108|93,00|100,30| |Medium|4|Renard|Mungyodance 3|single
29782|Wake Me Up in Heaven| |General Patton & The X-Ecutioners|108|93,00|100,30| |Easy|2|Renard|Mungyodance 3|single
29783|Warehouse (CubeHard Remix)| |Jon Doe|97|168,00|168,00| |Challenge|9|Renard|Mungyodance 3|single
29784|Warehouse (CubeHard Remix)| |Jon Doe|97|168,00|168,00| |Hard|8|Renard|Mungyodance 3|single
29785|Warehouse (CubeHard Remix)| |Jon Doe|97|168,00|168,00| |Medium|6|Renard|Mungyodance 3|single
29786|Warehouse (CubeHard Remix)| |Jon Doe|97|168,00|168,00| |Easy|3|Renard|Mungyodance 3|single
29787|Warp Trooper| |SamplingMasters AYA|102|168,00|168,00| |Challenge|10|Renard|Mungyodance 3|single
29788|Warp Trooper| |SamplingMasters AYA|102|168,00|168,00| |Hard|9|Renard|Mungyodance 3|single
29789|Warp Trooper| |SamplingMasters AYA|102|168,00|168,00| |Medium|5|Renard|Mungyodance 3|single
29790|Warp Trooper| |SamplingMasters AYA|102|168,00|168,00| |Easy|3|Renard|Mungyodance 3|single
29791|Warpdrive From Planet Celba| |Strobe - Titan|92|150,00|150,00| |Challenge|11|Renard|Mungyodance 3|single
29792|Warpdrive From Planet Celba| |Strobe - Titan|92|150,00|150,00| |Hard|8|Renard|Mungyodance 3|single
29793|Warpdrive From Planet Celba| |Strobe - Titan|92|150,00|150,00| |Medium|6|Renard|Mungyodance 3|single
29794|Warpdrive From Planet Celba| |Strobe - Titan|92|150,00|150,00| |Easy|3|Renard|Mungyodance 3|single
29795|Waters of Nazareth| |Justice|92|124,00|124,00| |Hard|9|Renard|Mungyodance 3|single
29796|Waters of Nazareth| |Justice|92|124,00|124,00| |Medium|7|Renard|Mungyodance 3|single
29797|Waters of Nazareth| |Justice|92|124,00|124,00| |Easy|3|Renard|Mungyodance 3|single
29798|What Do You Really Want| |Crash|101|110,00|110,00| |Hard|9|Renard|Mungyodance 3|single
29799|What Do You Really Want| |Crash|101|110,00|110,00| |Medium|4|Renard|Mungyodance 3|single
29800|What Do You Really Want| |Crash|101|110,00|110,00| |Easy|3|Renard|Mungyodance 3|single
