Chart_ID;Song_Title;Song_Subtitle;Song_Artist;Song_Length;Song_BPM;Technical_Notation;Difficulty_Name;Difficulty_Rating;Step_Artist;Pack
205;KIKIKAIKAI; ;Laur;186;160.000000;No Tech;Easy;6;Tidek;Bass Tester EXTREME 2
206;KIKIKAIKAI; ;Laur;186;160.000000;XO FS DS;Medium;9;Tidek;Bass Tester EXTREME 2
207;KIKIKAIKAI; ;Laur;186;160.000000;BXF BU DS;Hard;12;Tidek;Bass Tester EXTREME 2
208;KIKIKAIKAI; ;Laur;186;160.000000;B+X+F+ BU HS FL-;Challenge;15;Tidek;Bass Tester EXTREME 2
209;Kingz;(MBK Remix);DRS vs Repix ft Madsin;173;105.000000;No Tech;Beginner;1;Ayaka;Bass Tester EXTREME 2
210;Kingz;(MBK Remix);DRS vs Repix ft Madsin;173;105.000000;No Tech;Easy;2;Tidek;Bass Tester EXTREME 2
211;Kingz;(MBK Remix);DRS vs Repix ft Madsin;173;105.000000;No Tech;Medium;4;Ayaka;Bass Tester EXTREME 2
212;Kingz;(MBK Remix);DRS vs Repix ft Madsin;173;105.000000;No Tech;Hard;7;Ayaka;Bass Tester EXTREME 2
213;Kingz;(MBK Remix);DRS vs Repix ft Madsin;173;105.000000;SJ XO DS-;Challenge;9;Ayaka;Bass Tester EXTREME 2
214;Lash Out; ;Laur;186;200.000000;XM+;Beginner;3;Tidek;Bass Tester EXTREME 2
215;Lash Out; ;Laur;186;200.000000;XM+;Easy;6;Tidek;Bass Tester EXTREME 2
216;Lash Out; ;Laur;186;200.000000;XM+ XO FS HS;Medium;9;Tidek;Bass Tester EXTREME 2
217;Lash Out; ;Laur;186;200.000000;XM+ BXF HS BT BU;Hard;11;Tidek & AltVoid;Bass Tester EXTREME 2
218;Lash Out; ;Laur;186;200.000000;XM+ B+XF+ BT+ BU HS DS SS-;Challenge;13;Tidek & AltVoid;Bass Tester EXTREME 2
219;Love; ;Regain;195;155.000000;No Tech;Beginner;3;Tidek;Bass Tester EXTREME 2
220;Love; ;Regain;195;155.000000;No Tech;Easy;5;Tidek;Bass Tester EXTREME 2
221;Love; ;Regain;195;155.000000;DS FS-;Medium;8;Tidek;Bass Tester EXTREME 2
222;Love; ;Regain;195;155.000000;FS SS-;Hard;10;Tidek;Bass Tester EXTREME 2
223;Love; ;Regain;195;155.000000;BR+ FS SS-;Challenge;11;Tidek;Bass Tester EXTREME 2
